0
 여기서도 swimbikerun   지난 추석 때 아육대 를 기대했는데 코로나 땜에 아육대도 언택으로 바뀌었다 그때까지 배틀그라운드 모바일이 나온 줄도 몰랐는데
 또바기
" ᆞ
ᆞ
아무것도
ᆞ
하지않으면
ᆞ
아무것도
ᆞ
변하지않는다
ᆞ
ᆞ
ᆞ
움직이자구
ᆞ
ᆞ
ᆞ
이기자
코로나
딸스타그램 
happylife
taoyoga"
 코로나 때문에 조심스럽긴 하지만 사람들 많지 않고 붐비지 않을 시간대로 간간히 커피와 외식 즐기기    чайкоф 차이코프 점심외식 favorite 커피좋아
 이제 이렇게 장난감만 갖고 놀다 늙어 죽는건가 엠에스랩 건담 프라모델 건프라 코로나 건담베이스 장난감 도색 라스트슈팅 힐링 건담스타그램 취미 키덜트
 문화생활    쿼터급 소통 선팔 맞팔 198 여행 투어 좋반 인친 일상 슈퍼커브 염색 카페 마스크 패션 미용사 분위기 서울 코로나 dm
 You will face many defeats in life but never let yourself be defeated 
" 처음으로 여자친구 한테 받은 꽃 선물
힘든 하루 여자친구 덕분에 힐링
항상고맙고 사랑해
꽃다발 감동이야 사랑해 코로나 플라잉수원 고마운하루 사랑해 팔로우"
 부산 수영구 광안리 코로나 운동 배드민턴 플라이파워 플팡 플팡존 하리마우 운동하는남자 선팔 좋아요 운동불러주세요  어디든갑니다
 21살 여름
" 뭔가 빼먹은 것 같은데 
아 맞다 마스크 
모나스타그램"
 미티특공대 극장판 나와서 도현이랑 롯데시네마 영화관팝콘잘먹는 우리도현이 너무 귀여워 코로나로 인해 사회적 거리두기 영화시청
 집으로 돌아가는 길  멋진 실루엣을 담아달란다ㅎ  일주일에 한 번이지만 엄마 때문에 늦은 귀가를 하는 딸 고생이 많다  그림자놀이 당신의그림자 그림자 미래곤충학자
 재 탕
" 족발먹고 운동해야지 희희
오늘의 미션
런지100
스쿼트100
버피버피응"
 근황안부촬영  스토리 보고있는 분들은 아시겠지만 바쁘고 또 바쁘게 지내고 있답니다  유난했던 2020년 힘들기도 힘들었지만 이뤄낸것들이 더 많은 해이기에 평생 잊지
 요즘 기분 좀 좋아 ღღ
 유튜브 시작  평소에 사소한것 하나 하나 도전하는것을 좋아하는 나 도전하면서 느꼈던 좋은 감정들 자신감 만족감 성취감 희망 그리고 행복  도전이라는 주제를
 친구는 언제나 무엇을하든 웃음인듯하다 내 에드립에 까르르웃는친구들이 좋다  찐호아프지말고 빨리목발하고 이별해라 코로나 19 너는 누구냐 우린 수칙이 방패다 ㅎㅎ 모두
